# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	44
#@/user_id	15f2671a-e0de-4b58-841a-8c15726a3a41
ben ke sheng 	本科生	c=1 d=0.960789 t=44
bi jiao 	比较	c=1 d=0.995012 t=44
bu cuo 	不错	c=1 d=0.923116 t=44
bu xu yao 	不需要	c=1 d=0.856415 t=44
bu yong 	不用	c=1 d=0.937067 t=44
de 	的	c=2 d=1.93239 t=44
di yi dian 	低一点	c=1 d=0.970446 t=44
dui 	对	c=1 d=0.847894 t=44
hai xing 	还行	c=1 d=0.83527 t=44
hao 	好	c=3 d=2.62511 t=44
huo zhe 	或者	c=1 d=0.941765 t=44
jiao 	交	c=1 d=0.995012 t=44
jie shi 	解释	c=2 d=1.73024 t=44
jiu shi 	就是	c=1 d=0.839457 t=44
jiu xing 	就行	c=1 d=0.955997 t=44
kan le 	看了	c=1 d=0.831104 t=44
ke yi 	可以	c=2 d=1.83258 t=44
kou 	扣	c=1 d=0.946485 t=44
mei you 	没有	c=1 d=0.873716 t=44
na ge 	哪个	c=1 d=0.99005 t=44
na me 	那么	c=1 d=0.860708 t=44
ni kan kan 	你看看	c=1 d=0.980199 t=44
ni kan xia 	你看下	c=1 d=0.980199 t=44
ni lai 	你来	c=0 d=0.0904837 t=44
ni lai nong 	你来弄	c=1 d=0.909373 t=44
nong 	弄	c=0 d=0.0904837 t=44
qi shi 	其实	c=3 d=2.65355 t=44
qi ta 	其他	c=1 d=0.913931 t=44
ta men 	他们	c=1 d=0.985112 t=44
wo bu guan 	我不管	c=1 d=0.895834 t=44
xin 	新	c=1 d=0.99005 t=44
xing 	行	c=1 d=0.88692 t=44
yan ge 	严格	c=1 d=0.865022 t=44
yao qiu 	要求	c=2 d=1.83496 t=44
ye 	也	c=1 d=0.882497 t=44
yi fen 	一分	c=1 d=0.951229 t=44
zhi jie 	直接	c=1 d=0.900325 t=44
zuo 	做	c=1 d=0.985112 t=44
